name,face_recognition_dst,openface_OEN_dst,openface_IEBL_dst,dlib_trained_model,sift_feature,is_different_gender,pca_eigenface_dst,target
face_cropping/test\a_1590567971272_1590564201537_1,0.6890873217501112,0.7675613760948181,0.788482129573822,0.6872956702688622,3,0,7658661.526216216,1
face_cropping/test\a_1590567971272_1590569768002_1,0.5605963599594825,1.0015192031860352,0.9758041501045227,0.5992269668236713,20,0,10498338.719851084,1
face_cropping/test\a_1590568097470_1590559380207_1,0.5320375053147458,0.4924567937850952,0.6126371026039124,0.560327006705615,3,0,9415837.433813972,1
face_cropping/test\a_1590568272439_1590565065510_1,0.6705421633726525,1.0220551490783691,1.073140263557434,0.6744452999186452,38,1,5896429.805132976,1
face_cropping/test\a_1590569060082_1590484379875_1,0.6115770270028621,0.8874222040176392,0.9575085639953613,0.5996708730494786,5,0,3696448.7819137983,1
face_cropping/test\a_1590569060082_1590931783332_1,0.5966110738194287,0.8865617513656616,0.9625561833381653,0.5604405671399003,7,1,6363765.869207322,1
face_cropping/test\a_1590569219522_1590568814468_1,0.5914907507863058,0.845432460308075,0.9029690027236938,0.5342369914392329,10,0,11410724.256470334,1
face_cropping/test\a_1590569768002_1590927570919_1,0.6169229634632067,0.7803788781166077,1.1542692184448242,0.6303481200002508,3,0,11980428.169257058,1
face_cropping/test\a_1590926900331_1590565332253_1,0.6553741235284788,0.7286679148674011,0.674031138420105,0.6832694763750381,5,1,32860534.813439935,1
face_cropping/test\a_1590929658005_1590568272439_1,0.6721803660337804,0.9533644914627075,0.9616012573242188,0.6367972177288262,69,0,25421894.51193738,1
face_cropping/test\a_1590930685446_1590930359312_1,0.642224239444945,1.2068262100219727,1.1985323429107666,0.6495374826303609,12,0,9654077.26474491,1
face_cropping/test\a_1590931614272_1590926630525_1,0.7068786546992539,1.2275986671447754,1.1155120134353638,0.7167471529006448,0,0,7835833.494203538,1
face_cropping/test\a_1590931783332_1590929658005_1,0.5462941760473793,1.1025015115737915,1.1165562868118286,0.5736923074241702,8,1,10521893.153839191,1
face_cropping/test\a_1590931783332_1590929772216_1,0.7138461345246198,1.2735377550125122,1.209488868713379,0.6785589550180754,3,1,12874470.64886555,1
face_cropping/test\a_1590932247973_1590484321949_1,0.6871070531630239,0.7863898873329163,0.6888264417648315,0.661810721388052,63,0,8293745.239098227,1
face_cropping/test\a_test_0,0.3289477279433491,0.5702515244483948,0.5160226821899414,0.4014855250531608,40,0,17013801.62103992,0
